month,plant,datetime,prev,curr,drop,drop_pct,drop_mw,synoptic_class,synoptic_label,classification_method
10,EBER RES,2024-10-22 16:00:00+00:00,61.72,0.0,61.72,100.0,61.72,3,Mediterranean_Low,stub_heuristic
10,EBER RES,2024-10-29 06:00:00+00:00,60.62,0.0,60.62,100.0,60.62,3,Mediterranean_Low,stub_heuristic
10,GÖKTEPE RES,2024-10-31 20:00:00+00:00,53.98,6.16,47.81999999999999,88.58836606150426,47.81999999999999,3,Mediterranean_Low,stub_heuristic
10,KANGAL RES,2024-10-18 01:00:00+00:00,89.43,0.0,89.43,100.0,89.43,3,Mediterranean_Low,stub_heuristic
10,KIYIKÖY RES,2024-10-10 19:00:00+00:00,70.98,5.91,65.07000000000001,91.67371090448016,65.07000000000001,1,Cold_Front_Thrace,stub_heuristic
10,KIYIKÖY RES,2024-10-18 03:00:00+00:00,70.13,9.05,61.08,87.0953942677884,61.08,1,Cold_Front_Thrace,stub_heuristic
10,TAŞPINAR RES(GALATA WİND),2024-10-29 18:00:00+00:00,56.28,0.0,56.28,100.0,56.28,3,Mediterranean_Low,stub_heuristic
10,İSTANBUL RES,2024-10-06 22:00:00+00:00,60.64,7.75,52.89,87.21965699208444,52.89,3,Mediterranean_Low,stub_heuristic
11,EVRENCİK RES,2024-11-23 04:00:00+00:00,59.76,4.99,54.77,91.64993306559572,54.77,1,Cold_Front_Thrace,stub_heuristic
11,KIYIKÖY RES,2024-11-10 20:00:00+00:00,52.56,6.96,45.6,86.7579908675799,45.6,1,Cold_Front_Thrace,stub_heuristic
11,KIYIKÖY RES,2024-11-11 20:00:00+00:00,55.26,7.76,47.5,85.95729279768368,47.5,1,Cold_Front_Thrace,stub_heuristic
11,KIYIKÖY RES,2024-11-12 03:00:00+00:00,65.31,8.25,57.06,87.36793752870923,57.06,1,Cold_Front_Thrace,stub_heuristic
11,KIYIKÖY RES,2024-11-16 19:00:00+00:00,54.17,7.59,46.58,85.9885545504892,46.58,1,Cold_Front_Thrace,stub_heuristic
11,KIYIKÖY RES,2024-11-21 13:00:00+00:00,60.27,5.32,54.95,91.17305458768872,54.95,1,Cold_Front_Thrace,stub_heuristic
11,KIYIKÖY RES,2024-11-30 12:00:00+00:00,51.79,9.41,42.379999999999995,81.83046920254876,42.379999999999995,1,Cold_Front_Thrace,stub_heuristic
11,SİLİVRİ RES,2024-11-24 05:00:00+00:00,55.2,6.11,49.09,88.93115942028984,49.09,4,Blocking_Anticyclone,stub_heuristic
11,TAŞPINAR RES(GALATA WİND),2024-11-24 03:00:00+00:00,72.32,0.0,72.32,100.0,72.32,4,Blocking_Anticyclone,stub_heuristic
12,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),2024-12-21 20:00:00+00:00,82.91,3.45,79.46,95.83886141599324,79.46,4,Blocking_Anticyclone,stub_heuristic
12,BOZÜYÜK RES,2024-12-22 01:00:00+00:00,53.9,8.3,45.599999999999994,84.60111317254173,45.599999999999994,4,Blocking_Anticyclone,stub_heuristic
12,GÖKTEPE RES,2024-12-10 19:00:00+00:00,77.34,9.11,68.23,88.22084303077321,68.23,4,Blocking_Anticyclone,stub_heuristic
12,KANGAL RES,2024-12-13 21:00:00+00:00,120.7,0.0,120.7,100.0,120.7,0,Cyclone_NW_Turkey,stub_heuristic
12,KANGAL RES,2024-12-22 05:00:00+00:00,77.8,4.75,73.05,93.89460154241644,73.05,4,Blocking_Anticyclone,stub_heuristic
12,KIYIKÖY RES,2024-12-08 00:00:00+00:00,57.69,9.08,48.61,84.2607037614838,48.61,1,Cold_Front_Thrace,stub_heuristic
12,KIYIKÖY RES,2024-12-09 12:00:00+00:00,50.81,8.37,42.440000000000005,83.52686479039559,42.440000000000005,1,Cold_Front_Thrace,stub_heuristic
12,KIYIKÖY RES,2024-12-21 19:00:00+00:00,71.85,9.86,61.989999999999995,86.27696590118302,61.989999999999995,1,Cold_Front_Thrace,stub_heuristic
12,KOCATEPE RES(İzdem),2024-12-15 05:00:00+00:00,71.31,0.0,71.31,100.0,71.31,4,Blocking_Anticyclone,stub_heuristic
12,SÜLOĞLU RES,2024-12-29 09:00:00+00:00,58.96,1.23,57.73,97.91383989145184,57.73,1,Cold_Front_Thrace,stub_heuristic
12,SİLİVRİ RES,2024-12-03 05:00:00+00:00,59.21,0.0,59.21,100.0,59.21,4,Blocking_Anticyclone,stub_heuristic
12,TAŞPINAR RES(GALATA WİND),2024-12-11 00:00:00+00:00,57.74,4.48,53.260000000000005,92.24108070661588,53.260000000000005,4,Blocking_Anticyclone,stub_heuristic
12,TAŞPINAR RES(GALATA WİND),2024-12-19 23:00:00+00:00,63.0,0.0,63.0,100.0,63.0,4,Blocking_Anticyclone,stub_heuristic
12,TAŞPINAR RES(GALATA WİND),2024-12-20 21:00:00+00:00,71.13,0.0,71.13,100.0,71.13,4,Blocking_Anticyclone,stub_heuristic
12,İSTANBUL RES,2024-12-21 11:00:00+00:00,55.64,1.47,54.17,97.35801581595976,54.17,4,Blocking_Anticyclone,stub_heuristic
1,EVRENCİK RES,2025-01-04 05:00:00+00:00,74.57,9.11,65.46,87.78329086764114,65.46,1,Cold_Front_Thrace,stub_heuristic
1,KIYIKÖY RES,2025-01-09 11:00:00+00:00,56.91,8.24,48.669999999999995,85.52099806712351,48.669999999999995,1,Cold_Front_Thrace,stub_heuristic
1,KIYIKÖY RES,2025-01-10 03:00:00+00:00,54.11,6.81,47.3,87.41452596562557,47.3,1,Cold_Front_Thrace,stub_heuristic
1,KIYIKÖY RES,2025-01-14 20:00:00+00:00,75.12,8.66,66.46000000000001,88.47177848775294,66.46000000000001,1,Cold_Front_Thrace,stub_heuristic
1,SAROS RES,2025-01-26 04:00:00+00:00,62.53,0.0,62.53,100.0,62.53,2,Bora_Channel_Flow,stub_heuristic
1,SAROS RES,2025-01-28 06:00:00+00:00,65.5,0.0,65.5,100.0,65.5,2,Bora_Channel_Flow,stub_heuristic
1,SAROS RES,2025-01-28 11:00:00+00:00,77.13,0.0,77.13,100.0,77.13,2,Bora_Channel_Flow,stub_heuristic
2,KIYIKÖY RES,2025-02-10 20:00:00+00:00,55.48,8.58,46.9,84.534967555876,46.9,1,Cold_Front_Thrace,stub_heuristic
3,ATARES-1 RES,2025-03-16 08:00:00+00:00,56.09,0.0,56.09,100.0,56.09,1,Cold_Front_Thrace,stub_heuristic
3,ATARES-2 RES,2025-03-16 08:00:00+00:00,66.87,0.0,66.87,100.0,66.87,1,Cold_Front_Thrace,stub_heuristic
3,BERGRES RES,2025-03-16 08:00:00+00:00,59.74,1.32,58.42,97.79042517576164,58.42,1,Cold_Front_Thrace,stub_heuristic
3,DENİZLİ RES,2025-03-31 07:00:00+00:00,58.0,0.0,58.0,100.0,58.0,3,Mediterranean_Low,stub_heuristic
3,EVRENCİK RES,2025-03-16 07:00:00+00:00,80.89,0.0,80.89,100.0,80.89,1,Cold_Front_Thrace,stub_heuristic
3,EVRENCİK RES,2025-03-16 19:00:00+00:00,97.26,8.68,88.58000000000001,91.0754678182192,88.58000000000001,1,Cold_Front_Thrace,stub_heuristic
3,GEYVE RES,2025-03-16 08:00:00+00:00,52.7,0.0,52.7,100.0,52.7,1,Cold_Front_Thrace,stub_heuristic
3,GÖKTEPE RES,2025-03-16 08:00:00+00:00,76.0,0.0,76.0,100.0,76.0,1,Cold_Front_Thrace,stub_heuristic
3,GÖKTEPE RES,2025-03-26 05:00:00+00:00,51.0,0.0,51.0,100.0,51.0,3,Mediterranean_Low,stub_heuristic
3,GÜLPINAR RES,2025-03-16 07:00:00+00:00,97.72,0.0,97.72,100.0,97.72,1,Cold_Front_Thrace,stub_heuristic
3,GÜLPINAR RES,2025-03-26 13:00:00+00:00,56.53,3.78,52.75,93.3132849814258,52.75,2,Bora_Channel_Flow,stub_heuristic
3,GÜLPINAR RES,2025-03-27 05:00:00+00:00,118.15,9.04,109.11,92.34870926787984,109.11,2,Bora_Channel_Flow,stub_heuristic
3,KIYIKÖY RES,2025-03-16 19:00:00+00:00,56.92,6.16,50.760000000000005,89.17779339423754,50.760000000000005,1,Cold_Front_Thrace,stub_heuristic
3,KIYIKÖY RES,2025-03-28 07:00:00+00:00,72.98,7.92,65.06,89.14771170183612,65.06,1,Cold_Front_Thrace,stub_heuristic
3,KOCATEPE RES(İzdem),2025-03-31 07:00:00+00:00,71.59,0.0,71.59,100.0,71.59,3,Mediterranean_Low,stub_heuristic
3,KUŞADASI RES,2025-03-28 00:00:00+00:00,75.18,6.88,68.30000000000001,90.84862995477522,68.30000000000001,2,Bora_Channel_Flow,stub_heuristic
3,KUŞADASI RES,2025-03-31 07:00:00+00:00,66.03,5.63,60.4,91.47357261850674,60.4,2,Bora_Channel_Flow,stub_heuristic
3,OVACIK RES,2025-03-31 19:00:00+00:00,50.6,0.0,50.6,100.0,50.6,3,Mediterranean_Low,stub_heuristic
3,SÜLOĞLU RES,2025-03-18 20:00:00+00:00,66.0,0.0,66.0,100.0,66.0,1,Cold_Front_Thrace,stub_heuristic
3,TATLIPINAR RES,2025-03-16 07:00:00+00:00,111.42,7.24,104.18,93.50206426135344,104.18,1,Cold_Front_Thrace,stub_heuristic
3,TAŞPINAR RES(GALATA WİND),2025-03-16 08:00:00+00:00,77.19,0.0,77.19,100.0,77.19,1,Cold_Front_Thrace,stub_heuristic
3,VİZE-2 RES,2025-03-16 19:00:00+00:00,67.41,7.65,59.76,88.65153538050734,59.76,1,Cold_Front_Thrace,stub_heuristic
3,ZONGULDAK RES,2025-03-16 08:00:00+00:00,74.49,0.63,73.86,99.1542488924688,73.86,1,Cold_Front_Thrace,stub_heuristic
3,ÖMERLİ RES(BETİM),2025-03-28 12:00:00+00:00,68.23,4.26,63.970000000000006,93.7564121354243,63.970000000000006,3,Mediterranean_Low,stub_heuristic
3,ÜÇPINAR RES,2025-03-16 08:00:00+00:00,87.0,0.0,87.0,100.0,87.0,1,Cold_Front_Thrace,stub_heuristic
3,İSTANBUL RES,2025-03-16 08:00:00+00:00,108.79,0.0,108.79,100.0,108.79,1,Cold_Front_Thrace,stub_heuristic
4,ATAKALE RES,2025-04-22 18:00:00+00:00,68.61,0.0,68.61,100.0,68.61,3,Mediterranean_Low,stub_heuristic
4,ATAKALE RES,2025-04-25 15:00:00+00:00,56.96,6.6,50.36,88.4129213483146,50.36,3,Mediterranean_Low,stub_heuristic
4,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),2025-04-23 23:00:00+00:00,64.82,6.69,58.129999999999995,89.67911138537488,58.129999999999995,3,Mediterranean_Low,stub_heuristic
4,BOZÜYÜK RES,2025-04-10 17:00:00+00:00,73.6,0.0,73.6,100.0,73.6,3,Mediterranean_Low,stub_heuristic
4,CERİT RES_(PAKMEM),2025-04-29 10:00:00+00:00,53.05,7.19,45.86,86.44674835061264,45.86,3,Mediterranean_Low,stub_heuristic
4,DENİZLİ RES,2025-04-24 10:00:00+00:00,52.0,8.0,44.0,84.61538461538461,44.0,3,Mediterranean_Low,stub_heuristic
4,EBER RES,2025-04-07 06:00:00+00:00,57.06,0.0,57.06,100.0,57.06,3,Mediterranean_Low,stub_heuristic
4,KIYIKÖY RES,2025-04-02 03:00:00+00:00,54.1,9.74,44.36,81.99630314232903,44.36,1,Cold_Front_Thrace,stub_heuristic
4,KUŞADASI RES,2025-04-30 15:00:00+00:00,58.78,6.25,52.53,89.36713167744131,52.53,2,Bora_Channel_Flow,stub_heuristic
3,MASLAKTEPE RES(ENİ),2025-03-31 22:00:00+00:00,54.58,2.8,51.78,94.86991572004398,51.78,3,Mediterranean_Low,stub_heuristic
4,MUTLU RES 5,2025-04-20 01:00:00+00:00,73.5,0.0,73.5,100.0,73.5,3,Mediterranean_Low,stub_heuristic
4,YAHYALI RES(BAK),2025-04-22 11:00:00+00:00,51.1,9.5,41.6,81.40900195694715,41.6,3,Mediterranean_Low,stub_heuristic
