CASE,SANTRAL,TARIH,SAAT,ONCEKI_MW,SONRAKI_MW,KAYIP_MW,IL,KURULU_GUC,TURBIN
CASE_01,KANGAL RES,2024-12-14,00:00,121,0,121,Sivas,128 MW (151.4 MW),63
CASE_02,GÜLPINAR RES,2025-03-27,08:00,118,9,109,Çanakkale,149 MW (165.56 MW),45
CASE_03,İSTANBUL RES,2025-03-16,11:00,109,0,109,İstanbul,200 MW (283.7 MW),85
CASE_04,TATLIPINAR RES,2025-03-16,10:00,111,7,104,Balıkesir,127 MW (131.8 MW),36
CASE_05,GÜLPINAR RES,2025-03-16,10:00,98,0,98,Çanakkale,149 MW (165.56 MW),45
CASE_06,KANGAL RES,2024-10-18,04:00,89,0,89,Sivas,128 MW (151.4 MW),63
CASE_07,EVRENCİK RES,2025-03-16,22:00,97,9,89,Kırklareli,130 MW (170.4 MW),52
CASE_08,ÜÇPINAR RES,2025-03-16,11:00,87,0,87,Balıkesir,93 MW,31
CASE_09,EVRENCİK RES,2025-03-16,10:00,81,0,81,Kırklareli,130 MW (170.4 MW),52
CASE_10,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),2024-12-21,23:00,83,3,79,Manisa,72 MW,24
CASE_11,TAŞPINAR RES(GALATA WİND),2025-03-16,11:00,77,0,77,İstanbul,56 MW (68 MW),17
CASE_12,SAROS RES,2025-01-28,14:00,77,0,77,Çanakkale,138 MW (143.5 MW),41
CASE_13,GÖKTEPE RES,2025-03-16,11:00,76,0,76,Yalova,118 MW,35
CASE_14,ZONGULDAK RES,2025-03-16,11:00,74,1,74,Sakarya,120 MW,36
CASE_15,BOZÜYÜK RES,2025-04-10,20:00,74,0,74,Bilecik,54 MW,18