CASE_ID,CASE_10
SANTRAL,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.)
ACIKLAMA,21.12.2024 tarihinde saat 23:00'de 83 MW uretimden 3 MW'a ani dusus

# OLAY BILGILERI
Tarih,2024-12-21
Saat,23:00
Onceki_Uretim_MW,82.9
Sonraki_Uretim_MW,3.5
Kayip_MW,79.5
Dusus_Yuzde,95.8%

# SANTRAL BILGILERI (Kaynak: enerjiatlasi.com)
Kurulu_Guc,72 MW
Il,Manisa
Isletmeci_Firma,Bağlar Elektrik Üretim
Turbin_Adedi,24
Yillik_Uretim,~200 GWh
Detay_URL,https://www.enerjiatlasi.com/ruzgar/


# EN YAKIN 3 METEOROLOJI ISTASYONU
# Kaynak: https://teknolojikkazalar.org/list/weather_station
Istasyon_No,Istasyon_Adi,Kod,Enlem,Boylam,Tip,Organizasyon
17186,Manisa,MNIS,38° 37' N,27° 26' E,B, S,DMİ
17184,Akhisar,AKHS,38° 55' N,27° 50' E,B,DMİ
17792,Salihli,SLHL,38° 29' N,28° 08' E,B,DMİ

# GERCEK ZAMANLI URETIM (Olay oncesi/sonrasi 72 saat)
Tarih_Saat,Toplam_MWh,Ruzgar_MWh
2024-12-18T00:00:00+03:00,0.7,0.7
2024-12-18T01:00:00+03:00,1.44,1.44
2024-12-18T02:00:00+03:00,1.48,1.48
2024-12-18T03:00:00+03:00,1.36,1.36
2024-12-18T04:00:00+03:00,2.18,2.18
2024-12-18T05:00:00+03:00,5.96,5.96
2024-12-18T06:00:00+03:00,8.59,8.59
2024-12-18T07:00:00+03:00,6.91,6.91
2024-12-18T08:00:00+03:00,14.62,14.62
2024-12-18T09:00:00+03:00,21.08,21.08
2024-12-18T10:00:00+03:00,20.87,20.87
2024-12-18T11:00:00+03:00,20.49,20.49
2024-12-18T12:00:00+03:00,21.93,21.93
2024-12-18T13:00:00+03:00,19.74,19.74
2024-12-18T14:00:00+03:00,17.5,17.5
2024-12-18T15:00:00+03:00,14.18,14.18
2024-12-18T16:00:00+03:00,9.9,9.9
2024-12-18T17:00:00+03:00,2.09,2.09
2024-12-18T18:00:00+03:00,0.88,0.88
2024-12-18T19:00:00+03:00,0,0
2024-12-18T20:00:00+03:00,0,0
2024-12-18T21:00:00+03:00,0,0
2024-12-18T22:00:00+03:00,0,0
2024-12-18T23:00:00+03:00,0,0
2024-12-19T00:00:00+03:00,0.25,0.25
2024-12-19T01:00:00+03:00,0.78,0.78
2024-12-19T02:00:00+03:00,1.38,1.38
2024-12-19T03:00:00+03:00,1.41,1.41
2024-12-19T04:00:00+03:00,0.18,0.18
2024-12-19T05:00:00+03:00,0,0
2024-12-19T06:00:00+03:00,0.07,0.07
2024-12-19T07:00:00+03:00,0.77,0.77
2024-12-19T08:00:00+03:00,3.64,3.64
2024-12-19T09:00:00+03:00,14.32,14.32
2024-12-19T10:00:00+03:00,27.41,27.41
2024-12-19T11:00:00+03:00,27.91,27.91
2024-12-19T12:00:00+03:00,20.44,20.44
2024-12-19T13:00:00+03:00,19.95,19.95
2024-12-19T14:00:00+03:00,17.6,17.6
2024-12-19T15:00:00+03:00,10.82,10.82
2024-12-19T16:00:00+03:00,8.4,8.4
2024-12-19T17:00:00+03:00,3.84,3.84
2024-12-19T18:00:00+03:00,0.56,0.56
2024-12-19T19:00:00+03:00,0.88,0.88
2024-12-19T20:00:00+03:00,5.82,5.82
2024-12-19T21:00:00+03:00,6.61,6.61
2024-12-19T22:00:00+03:00,9.79,9.79
2024-12-19T23:00:00+03:00,1.87,1.87
2024-12-20T00:00:00+03:00,4.16,4.16
2024-12-20T01:00:00+03:00,4.51,4.51
2024-12-20T02:00:00+03:00,9.4,9.4
2024-12-20T03:00:00+03:00,5.51,5.51
2024-12-20T04:00:00+03:00,1.37,1.37
2024-12-20T05:00:00+03:00,0.33,0.33
2024-12-20T06:00:00+03:00,2.41,2.41
2024-12-20T07:00:00+03:00,0.36,0.36
2024-12-20T08:00:00+03:00,1.05,1.05
2024-12-20T09:00:00+03:00,4.66,4.66
2024-12-20T10:00:00+03:00,11.56,11.56
2024-12-20T11:00:00+03:00,11.45,11.45
2024-12-20T12:00:00+03:00,9.16,9.16
2024-12-20T13:00:00+03:00,10.4,10.4
2024-12-20T14:00:00+03:00,8.06,8.06
2024-12-20T15:00:00+03:00,4.81,4.81
2024-12-20T16:00:00+03:00,9.05,9.05
2024-12-20T17:00:00+03:00,11.16,11.16
2024-12-20T18:00:00+03:00,12.53,12.53
2024-12-20T19:00:00+03:00,14,14
2024-12-20T20:00:00+03:00,13.97,13.97
2024-12-20T21:00:00+03:00,16.67,16.67
2024-12-20T22:00:00+03:00,18.89,18.89
2024-12-20T23:00:00+03:00,20.06,20.06
2024-12-21T00:00:00+03:00,33.88,33.88
2024-12-21T01:00:00+03:00,58.74,58.74
2024-12-21T02:00:00+03:00,40.8,40.8
2024-12-21T03:00:00+03:00,39.74,39.74
2024-12-21T04:00:00+03:00,45.62,45.62
2024-12-21T05:00:00+03:00,57.03,57.03
2024-12-21T06:00:00+03:00,76.23,76.23
2024-12-21T07:00:00+03:00,91.9,91.9
2024-12-21T08:00:00+03:00,89.24,89.24
2024-12-21T09:00:00+03:00,98.42,98.42
2024-12-21T10:00:00+03:00,98.89,98.89
2024-12-21T11:00:00+03:00,98.97,98.97
2024-12-21T12:00:00+03:00,98.62,98.62
2024-12-21T13:00:00+03:00,96.6,96.6
2024-12-21T14:00:00+03:00,98.72,98.72
2024-12-21T15:00:00+03:00,78.96,78.96
2024-12-21T16:00:00+03:00,98.95,98.95
2024-12-21T17:00:00+03:00,98.64,98.64
2024-12-21T18:00:00+03:00,97.78,97.78
2024-12-21T19:00:00+03:00,97.4,97.4
2024-12-21T20:00:00+03:00,92.79,92.79
2024-12-21T21:00:00+03:00,90.36,90.36
2024-12-21T22:00:00+03:00,82.91,82.91
2024-12-21T23:00:00+03:00,3.45,3.45
2024-12-22T00:00:00+03:00,16.83,16.83
2024-12-22T01:00:00+03:00,40.76,40.76
2024-12-22T02:00:00+03:00,62.7,62.7
2024-12-22T03:00:00+03:00,75.71,75.71
2024-12-22T04:00:00+03:00,37.99,37.99
2024-12-22T05:00:00+03:00,12.31,12.31
2024-12-22T06:00:00+03:00,0.95,0.95
2024-12-22T07:00:00+03:00,0.67,0.67
2024-12-22T08:00:00+03:00,9.96,9.96
2024-12-22T09:00:00+03:00,10.43,10.43
2024-12-22T10:00:00+03:00,18.89,18.89
2024-12-22T11:00:00+03:00,19.37,19.37
2024-12-22T12:00:00+03:00,15.47,15.47
2024-12-22T13:00:00+03:00,6,6
2024-12-22T14:00:00+03:00,12.67,12.67
2024-12-22T15:00:00+03:00,7.59,7.59
2024-12-22T16:00:00+03:00,5.68,5.68
2024-12-22T17:00:00+03:00,5.55,5.55
2024-12-22T18:00:00+03:00,2.29,2.29
2024-12-22T19:00:00+03:00,2.94,2.94
2024-12-22T20:00:00+03:00,0.26,0.26
2024-12-22T21:00:00+03:00,0,0
2024-12-22T22:00:00+03:00,0,0
2024-12-22T23:00:00+03:00,2.78,2.78
2024-12-23T00:00:00+03:00,4.52,4.52
2024-12-23T01:00:00+03:00,2.27,2.27
2024-12-23T02:00:00+03:00,10.8,10.8
2024-12-23T03:00:00+03:00,17.57,17.57
2024-12-23T04:00:00+03:00,32.08,32.08
2024-12-23T05:00:00+03:00,28.17,28.17
2024-12-23T06:00:00+03:00,38.36,38.36
2024-12-23T07:00:00+03:00,40.77,40.77
2024-12-23T08:00:00+03:00,38.17,38.17
2024-12-23T09:00:00+03:00,30.76,30.76
2024-12-23T10:00:00+03:00,31.87,31.87
2024-12-23T11:00:00+03:00,41.05,41.05
2024-12-23T12:00:00+03:00,40.15,40.15
2024-12-23T13:00:00+03:00,40.12,40.12
2024-12-23T14:00:00+03:00,34.71,34.71
2024-12-23T15:00:00+03:00,33.21,33.21
2024-12-23T16:00:00+03:00,27.73,27.73
2024-12-23T17:00:00+03:00,25.35,25.35
2024-12-23T18:00:00+03:00,44.93,44.93
2024-12-23T19:00:00+03:00,51.66,51.66
2024-12-23T20:00:00+03:00,69.85,69.85
2024-12-23T21:00:00+03:00,70.76,70.76
2024-12-23T22:00:00+03:00,61.8,61.8
2024-12-23T23:00:00+03:00,96.2,96.2
2024-12-24T00:00:00+03:00,95.2,95.2
2024-12-24T01:00:00+03:00,93.3,93.3
2024-12-24T02:00:00+03:00,65.03,65.03
2024-12-24T03:00:00+03:00,69.78,69.78
2024-12-24T04:00:00+03:00,90.05,90.05
2024-12-24T05:00:00+03:00,84.46,84.46
2024-12-24T06:00:00+03:00,88.32,88.32
2024-12-24T07:00:00+03:00,97.01,97.01
2024-12-24T08:00:00+03:00,98.49,98.49
2024-12-24T09:00:00+03:00,99.05,99.05
2024-12-24T10:00:00+03:00,98.97,98.97
2024-12-24T11:00:00+03:00,97.99,97.99
2024-12-24T12:00:00+03:00,97.95,97.95
2024-12-24T13:00:00+03:00,98.72,98.72
2024-12-24T14:00:00+03:00,98.98,98.98
2024-12-24T15:00:00+03:00,99.06,99.06
2024-12-24T16:00:00+03:00,99.05,99.05
2024-12-24T17:00:00+03:00,99,99
2024-12-24T18:00:00+03:00,98.85,98.85
2024-12-24T19:00:00+03:00,95.96,95.96
2024-12-24T20:00:00+03:00,88.2,88.2
2024-12-24T21:00:00+03:00,80.24,80.24
2024-12-24T22:00:00+03:00,83.23,83.23
2024-12-24T23:00:00+03:00,89.27,89.27