CASE_ID,CASE_14
SANTRAL,ZONGULDAK RES
ACIKLAMA,16.03.2025 tarihinde saat 11:00'de 74 MW uretimden 1 MW'a ani dusus

# OLAY BILGILERI
Tarih,2025-03-16
Saat,11:00
Onceki_Uretim_MW,74.5
Sonraki_Uretim_MW,0.6
Kayip_MW,73.9
Dusus_Yuzde,99.2%

# SANTRAL BILGILERI (Kaynak: enerjiatlasi.com)
Kurulu_Guc,120 MW
Il,Sakarya
Isletmeci_Firma,Türkerler Holding
Turbin_Adedi,36
Yillik_Uretim,~350 GWh
Detay_URL,https://www.enerjiatlasi.com/ruzgar/zonguldak-res.html


# EN YAKIN 3 METEOROLOJI ISTASYONU
# Kaynak: https://teknolojikkazalar.org/list/weather_station
Istasyon_No,Istasyon_Adi,Kod,Enlem,Boylam,Tip,Organizasyon
17069,Adapazarı,ADPZ,40° 45' N,30° 24' E,B, S,DMİ
17692,Geyve,GEYV,40° 31' N,30° 18' E,B,DMİ
17066,Kocaeli,KCAL,40° 46' N,29° 55' E,B, S,DMİ

# GERCEK ZAMANLI URETIM (Olay oncesi/sonrasi 72 saat)
Tarih_Saat,Toplam_MWh,Ruzgar_MWh
2025-03-13T00:00:00+03:00,2.2,0
2025-03-13T01:00:00+03:00,2.2,0
2025-03-13T02:00:00+03:00,2.22,0
2025-03-13T03:00:00+03:00,2.22,0
2025-03-13T04:00:00+03:00,2.21,0
2025-03-13T05:00:00+03:00,2.2,0
2025-03-13T06:00:00+03:00,2.2,0
2025-03-13T07:00:00+03:00,1.76,0
2025-03-13T08:00:00+03:00,2.23,0
2025-03-13T09:00:00+03:00,2.04,0
2025-03-13T10:00:00+03:00,2.23,0
2025-03-13T11:00:00+03:00,2.22,0
2025-03-13T12:00:00+03:00,2.01,0
2025-03-13T13:00:00+03:00,2.11,0
2025-03-13T14:00:00+03:00,2.24,0
2025-03-13T15:00:00+03:00,2.2,0
2025-03-13T16:00:00+03:00,2.2,0
2025-03-13T17:00:00+03:00,2,0
2025-03-13T18:00:00+03:00,1.37,0
2025-03-13T19:00:00+03:00,1.93,0
2025-03-13T20:00:00+03:00,2.23,0
2025-03-13T21:00:00+03:00,2.23,0
2025-03-13T22:00:00+03:00,2.2,0
2025-03-13T23:00:00+03:00,2.2,0
2025-03-14T00:00:00+03:00,2.01,0
2025-03-14T01:00:00+03:00,2.21,0
2025-03-14T02:00:00+03:00,2.2,0
2025-03-14T03:00:00+03:00,0.59,0
2025-03-14T04:00:00+03:00,1.72,0
2025-03-14T05:00:00+03:00,2.24,0
2025-03-14T06:00:00+03:00,2.29,0
2025-03-14T07:00:00+03:00,2.25,0
2025-03-14T08:00:00+03:00,2.17,0
2025-03-14T09:00:00+03:00,2.21,0
2025-03-14T10:00:00+03:00,2.22,0
2025-03-14T11:00:00+03:00,2.22,0
2025-03-14T12:00:00+03:00,2.02,0
2025-03-14T13:00:00+03:00,2.22,0
2025-03-14T14:00:00+03:00,2.22,0
2025-03-14T15:00:00+03:00,2.05,0
2025-03-14T16:00:00+03:00,2.1,0
2025-03-14T17:00:00+03:00,2.01,0
2025-03-14T18:00:00+03:00,2.25,0
2025-03-14T19:00:00+03:00,2.22,0
2025-03-14T20:00:00+03:00,2.21,0
2025-03-14T21:00:00+03:00,2.22,0
2025-03-14T22:00:00+03:00,2.2,0
2025-03-14T23:00:00+03:00,2.2,0
2025-03-15T00:00:00+03:00,1.88,0
2025-03-15T01:00:00+03:00,1.01,0
2025-03-15T02:00:00+03:00,0.58,0
2025-03-15T03:00:00+03:00,2.12,0
2025-03-15T04:00:00+03:00,2.24,0
2025-03-15T05:00:00+03:00,2.22,0
2025-03-15T06:00:00+03:00,2.21,0
2025-03-15T07:00:00+03:00,2.22,0
2025-03-15T08:00:00+03:00,1.26,0
2025-03-15T09:00:00+03:00,1.15,0
2025-03-15T10:00:00+03:00,1.15,0
2025-03-15T11:00:00+03:00,2.14,0
2025-03-15T12:00:00+03:00,2.22,0
2025-03-15T13:00:00+03:00,2.24,0
2025-03-15T14:00:00+03:00,2.24,0
2025-03-15T15:00:00+03:00,0.24,0
2025-03-15T16:00:00+03:00,2.22,0
2025-03-15T17:00:00+03:00,2.23,0
2025-03-15T18:00:00+03:00,2.22,0
2025-03-15T19:00:00+03:00,2.23,0
2025-03-15T20:00:00+03:00,2.23,0
2025-03-15T21:00:00+03:00,2.3,0
2025-03-15T22:00:00+03:00,2.23,0
2025-03-15T23:00:00+03:00,2.23,0
2025-03-16T00:00:00+03:00,1.9,0
2025-03-16T01:00:00+03:00,2.25,0
2025-03-16T02:00:00+03:00,2.25,0
2025-03-16T03:00:00+03:00,2.24,0
2025-03-16T04:00:00+03:00,2.23,0
2025-03-16T05:00:00+03:00,2.23,0
2025-03-16T06:00:00+03:00,2.24,0
2025-03-16T07:00:00+03:00,1.9,0
2025-03-16T08:00:00+03:00,2.2,0
2025-03-16T09:00:00+03:00,2.21,0
2025-03-16T10:00:00+03:00,2.24,0
2025-03-16T11:00:00+03:00,2.23,0
2025-03-16T12:00:00+03:00,2.01,0
2025-03-16T13:00:00+03:00,2.24,0
2025-03-16T14:00:00+03:00,2.23,0
2025-03-16T15:00:00+03:00,2.24,0
2025-03-16T16:00:00+03:00,2.2,0
2025-03-16T17:00:00+03:00,2,0
2025-03-16T18:00:00+03:00,2.22,0
2025-03-16T19:00:00+03:00,2.23,0
2025-03-16T20:00:00+03:00,2.24,0
2025-03-16T21:00:00+03:00,2.23,0
2025-03-16T22:00:00+03:00,2.23,0
2025-03-16T23:00:00+03:00,2.22,0
2025-03-17T00:00:00+03:00,0.93,0
2025-03-17T01:00:00+03:00,1.48,0
2025-03-17T02:00:00+03:00,2.24,0
2025-03-17T03:00:00+03:00,1.26,0
2025-03-17T04:00:00+03:00,2.08,0
2025-03-17T05:00:00+03:00,2.24,0
2025-03-17T06:00:00+03:00,2.25,0
2025-03-17T07:00:00+03:00,2.07,0
2025-03-17T08:00:00+03:00,2.24,0
2025-03-17T09:00:00+03:00,2.23,0
2025-03-17T10:00:00+03:00,2.23,0
2025-03-17T11:00:00+03:00,2.21,0
2025-03-17T12:00:00+03:00,2.07,0
2025-03-17T13:00:00+03:00,2.21,0
2025-03-17T14:00:00+03:00,2.21,0
2025-03-17T15:00:00+03:00,2.22,0
2025-03-17T16:00:00+03:00,2.24,0
2025-03-17T17:00:00+03:00,2.01,0
2025-03-17T18:00:00+03:00,2.23,0
2025-03-17T19:00:00+03:00,2.23,0
2025-03-17T20:00:00+03:00,1.38,0
2025-03-17T21:00:00+03:00,1.59,0
2025-03-17T22:00:00+03:00,2.26,0
2025-03-17T23:00:00+03:00,2.22,0
2025-03-18T00:00:00+03:00,2.22,0
2025-03-18T01:00:00+03:00,1.84,0
2025-03-18T02:00:00+03:00,1.79,0
2025-03-18T03:00:00+03:00,2.23,0
2025-03-18T04:00:00+03:00,2.21,0
2025-03-18T05:00:00+03:00,1.72,0
2025-03-18T06:00:00+03:00,2.21,0
2025-03-18T07:00:00+03:00,1.95,0
2025-03-18T08:00:00+03:00,2.12,0
2025-03-18T09:00:00+03:00,1.63,0
2025-03-18T10:00:00+03:00,2.23,0
2025-03-18T11:00:00+03:00,2.2,0
2025-03-18T12:00:00+03:00,2.04,0
2025-03-18T13:00:00+03:00,1.3,0
2025-03-18T14:00:00+03:00,2.22,0
2025-03-18T15:00:00+03:00,2.23,0
2025-03-18T16:00:00+03:00,2.22,0
2025-03-18T17:00:00+03:00,1.8,0
2025-03-18T18:00:00+03:00,2.22,0
2025-03-18T19:00:00+03:00,1.79,0
2025-03-18T20:00:00+03:00,2.2,0
2025-03-18T21:00:00+03:00,1.82,0
2025-03-18T22:00:00+03:00,2.22,0
2025-03-18T23:00:00+03:00,1.64,0
2025-03-19T00:00:00+03:00,1.76,0
2025-03-19T01:00:00+03:00,2.19,0
2025-03-19T02:00:00+03:00,2.18,0
2025-03-19T03:00:00+03:00,1.66,0
2025-03-19T04:00:00+03:00,2.18,0
2025-03-19T05:00:00+03:00,2.17,0
2025-03-19T06:00:00+03:00,2.19,0
2025-03-19T07:00:00+03:00,1.28,0
2025-03-19T08:00:00+03:00,2.2,0
2025-03-19T09:00:00+03:00,2.26,0
2025-03-19T10:00:00+03:00,2.2,0
2025-03-19T11:00:00+03:00,2.2,0
2025-03-19T12:00:00+03:00,2,0
2025-03-19T13:00:00+03:00,2.2,0
2025-03-19T14:00:00+03:00,2.21,0
2025-03-19T15:00:00+03:00,2.21,0
2025-03-19T16:00:00+03:00,2.2,0
2025-03-19T17:00:00+03:00,0.75,0
2025-03-19T18:00:00+03:00,1.2,0
2025-03-19T19:00:00+03:00,1.12,0
2025-03-19T20:00:00+03:00,1.14,0
2025-03-19T21:00:00+03:00,1.14,0
2025-03-19T22:00:00+03:00,1.17,0
2025-03-19T23:00:00+03:00,1.24,0